id,scheme_name,education_level,max_income,category,gender,min_age,max_age,benefits,documents,youtube_link,official_link,disability,first_graduate,sports
1,"Pre-Matric Scholarship for Students with Disabilities",Secondary,250000,Any,Any,13,18,"Financial assistance for disabled students studying in Class 9–10","Disability Certificate (minimum 40% disability issued by government authority), Aadhaar Card or Aadhaar Enrollment Number, Parent or Guardian Income Certificate issued by Tahsildar, Previous Year School Marksheet (Class 8 or Class 9), School Bonafide Certificate, Bank Passbook Copy or Bank Account Details, Recent Passport Size Photograph",https://youtu.be/bsc7Xk0kJ4I,https://scholarships.gov.in/,Yes,Any,No
2,"Post-Matric Scholarship for Students with Disabilities",UG,NULL,NULL,NULL,NULL,NULL,"Financial support for students studying after Class 10","Disability Certificate issued by competent authority, Aadhaar Card or Government Identity Proof, Income Certificate issued by revenue authority, Class 10 Marksheet for Class 11 admission or Class 12 Marksheet for UG admission, Admission Proof or Bonafide Certificate from Institution, Tuition Fee Receipt or Fee Structure, Bank Passbook Copy or Cancelled Cheque, Recent Passport Size Photograph",NULL,NULL,NULL,NULL,NULL
3,"National Fellowship for Persons with Disabilities",PG,9999999,Any,Any,21,40,"Support for disabled students pursuing MPhil or PhD","Valid Disability Certificate showing 40 percent or above disability, Aadhaar Card or Government Identity Proof, Master Degree Marksheet and Degree Certificate, PhD Admission Letter from UGC recognized university, Research Proposal or Supervisor Recommendation Letter, Bank Account Details or Cancelled Cheque, Recent Passport Size Photograph",https://www.youtube.com/watch?v=rXFYeippEKo,https://www.ugc.ac.in/,Yes,Any,No
7,"National Overseas Scholarship for SC Students",PG,800000,SC,Any,21,35,"Supports SC students pursuing higher education abroad.
Provides financial assistance for tuition and living expenses.
Encourages global academic exposure.","SC Certificate, Passport, Admission Letter, Income Certificate",https://youtu.be/XTimSWX9zGg,https://nosmsje.gov.in,Any,Any,No
8,"Free Coaching Scheme for SC & OBC Students",UG,800000,SC,Any,18,30,"Provides free coaching for competitive examinations.
Helps students prepare for civil services and other exams.
Encourages educational advancement.","SC or OBC Caste Certificate issued by government authority, Aadhaar Card or Government Identity Proof, Income Certificate issued by revenue authority, Graduation Marksheet or Final Year Marksheet for competitive exam preparation, Coaching Institute Admission Proof, Recent Passport Size Photograph",https://youtu.be/3vUeblte--A,https://socialjustice.gov.in,Any,Any,No
9,"Top Class Education Scheme for SC Students",UG,600000,SC,Any,17,30,"Supports SC students studying in premier institutions.
Provides financial assistance including tuition and living expenses.
Promotes equal access to quality education.","SC Certificate, Income Certificate, Admission Proof",https://youtu.be/b_7blDmUUYw,https://scholarships.gov.in,Any,Any,No
10,"Post-Matric Scholarship for Minorities",UG,200000,Minority,Any,17,30,"Provides financial assistance for minority students.
Supports education from Class 11 to postgraduate level.
Encourages academic participation among minority communities.","Minority Community Certificate issued by government authority, Income Certificate issued by competent authority, Class 10 Marksheet for higher secondary admission or Class 12 Marksheet for undergraduate admission, Admission Proof or Bonafide Certificate from institution, Aadhaar Card or Government Identity Proof, Bank Passbook Copy, Recent Passport Size Photograph",https://www.youtube.com/results?search_query=minority+scholarship+apply,https://scholarships.gov.in,Any,Any,No
11,"Maulana Azad National Fellowship",PhD,800000,Minority,Any,21,40,"Provides fellowship for minority students pursuing research.
Encourages higher education and academic research.
Supports students financially during PhD studies.","Minority Community Certificate issued by government authority, Master Degree Marksheet and Certificate, PhD Admission Letter from recognized university, Research Proposal or Supervisor Recommendation, Aadhaar Card or Government Identity Proof, Bank Account Details or Passbook Copy, Recent Passport Size Photograph",https://www.youtube.com/results?search_query=maulana+azad+fellowship,https://ugc.ac.in,Any,Any,No
12,"AICTE Pragati Scholarship for Girl Students",UG,800000,Any,Female,17,30,"Encourages girls to pursue technical education.
Provides financial assistance for tuition and academic expenses.
Promotes gender equality in engineering education.","Aadhaar Card of female student, Family Income Certificate issued by government authority, Class 12 Board Examination Marksheet, Admission Letter from AICTE approved institution, Tuition Fee Receipt from college, Bank Passbook Copy or student bank account details, Recent Passport Size Photograph",https://www.youtube.com/results?search_query=aicte+pragati+scholarship,https://aicte-india.org,Any,Any,No
13,"Indira Gandhi Scholarship for Single Girl Child",PG,800000,Any,Female,21,35,"Supports higher education for single girl children.
Provides scholarship for postgraduate education.
Promotes female empowerment through education.","Aadhaar Card or Government Identity Proof, Proof of Single Girl Child Certificate from institution, Bachelor Degree Marksheet and Certificate, Admission Proof for postgraduate course, Bank Passbook Copy or Account Details, Recent Passport Size Photograph",https://www.youtube.com/results?search_query=indira+gandhi+scholarship+single+girl,https://ugc.ac.in,Any,Any,No
